zipcode,total_pop,college_pop,college_percent,Population 18 to 24 years,    Bachelor's degree or higher,Population 25 years and over,    Bachelor's degree,    Graduate or professional degree,Population 25 to 34 years,    Bachelor's degree or higher,Population 35 to 44 years,    Bachelor's degree or higher,Population 45 to 64 years,    Bachelor's degree or higher,Population 65 years and over,    Bachelor's degree or higher
60025,"57,889","32,588",0.562939419,"2,017",404,"27,936","9,360","6,732","3,797","2,040","4,639","3,420","12,152","7,283","7,348","3,349"
60026,"21,265","13,273",0.624171173,823,253,"10,221","3,496","3,014","1,419",890,"1,620","1,285","4,011","2,692","3,171","1,643"
60029,624,472,0.756410256,30,8,297,117,115,29,17,64,58,142,105,62,52
60030,"52,223","22,339",0.427761714,"3,447",475,"24,388","6,606","4,326","3,447","1,704","5,289","2,898","10,687","5,032","4,965","1,298"
60031,"52,538","23,317",0.443812098,"3,286",517,"24,626","7,324","4,076","3,582","1,580","5,563","3,207","11,613","5,561","3,868","1,052"
60033,"17,496","2,223",0.127057613,"1,282",23,"8,107",635,465,"1,869",135,"1,599",181,"3,070",529,"1,569",255
60034,"2,715",417,0.15359116,183,7,"1,266",153,52,167,14,226,32,635,134,238,25
60035,"42,620","29,438",0.690708588,"1,582",246,"20,519","6,984","7,612","1,859","1,191","3,400","2,577","9,109","6,833","6,151","3,995"
60040,"7,529","2,570",0.341346792,437,50,"3,546",736,524,702,295,872,210,"1,278",562,694,193
60041,"13,731","2,703",0.196853834,771,65,"6,480",827,492,"1,295",297,"1,021",251,"2,926",623,"1,238",148
60042,"12,350","2,881",0.233279352,610,63,"5,870","1,078",331,"1,156",361,"1,212",321,"2,747",617,755,110
60043,"3,331","2,975",0.893125188,131,45,"1,600",655,810,52,36,323,313,841,786,384,330
60044,"14,228","9,385",0.659614844,882,347,"6,673","2,518","2,001",897,609,"1,059",754,"3,230","2,265","1,487",891
60045,"28,908","20,881",0.722326,"1,960",485,"13,474","5,103","5,095",859,585,"1,996","1,647","6,943","5,696","3,676","2,270"
60046,"48,095","18,486",0.384364279,"3,011",234,"22,542","5,988","3,138","3,683","1,653","4,526","2,534","10,633","3,973","3,700",966
60047,"59,594","34,704",0.582340504,"3,212",692,"28,191","10,165","6,841","3,137","2,014","5,446","3,785","15,174","9,333","4,434","1,874"
60048,"41,496","26,676",0.642857143,"2,212",430,"19,642","7,237","5,886","2,011","1,376","3,182","2,575","10,197","7,096","4,252","2,076"
60050,"45,561","10,288",0.22580716,"3,061",276,"21,250","3,418","1,588","3,948","1,061","4,071",987,"8,942","2,112","4,289",846
60051,"35,654","8,181",0.229455321,"2,078",141,"16,788","2,613","1,407","2,978",912,"3,615","1,104","7,368","1,500","2,827",504
60053,"36,577","15,380",0.420482817,"1,421",294,"17,578","5,071","2,472","2,878","1,748","2,893","1,417","6,522","2,794","5,285","1,584"
60056,"81,977","31,651",0.3860961,"3,849",571,"39,064","9,959","5,581","8,070","3,768","7,603","3,406","15,198","6,453","8,193","1,913"
60060,"54,077","21,728",0.401797437,"3,237",432,"25,420","6,629","4,019","5,058","2,192","5,292","2,026","11,310","4,944","3,760","1,486"
60061,"37,156","22,556",0.607062116,"1,802",534,"17,677","6,615","4,396","3,008","2,082","4,256","2,804","7,519","4,871","2,894","1,254"
60062,"60,094","38,768",0.645122641,"1,878",532,"29,108","10,684","8,434","2,512","1,469","4,660","3,709","11,950","8,749","9,986","5,191"
60064,"19,875","2,255",0.113459119,"2,261",225,"8,807",725,290,"2,060",260,"1,959",64,"3,408",578,"1,380",113
60067,"56,609","32,113",0.567277288,"1,913",441,"27,348","9,246","6,590","4,271","2,778","4,851","3,372","12,185","7,364","6,041","2,322"
60068,"54,362","29,194",0.537029543,"2,488",610,"25,937","8,197","6,095","2,960","1,847","4,317","2,841","11,800","7,097","6,860","2,507"
60069,"13,416","8,276",0.616875373,508,86,"6,454","2,259","1,836",321,227,983,720,"2,417","1,673","2,733","1,475"
60070,"23,819","8,348",0.35047651,"1,023",186,"11,398","2,567","1,514","2,772","1,092","2,031",625,"4,292","1,650","2,303",714
60071,"5,400","1,105",0.20462963,372,51,"2,514",392,135,301,85,431,99,"1,218",272,564,71
60072,"1,129",286,0.253321523,45,6,542,88,52,62,9,96,25,318,93,66,13
60073,"78,172","17,057",0.218198332,"5,812",267,"36,180","6,053","2,342","9,075","1,969","10,171","2,750","12,791","2,905","4,143",771
60074,"55,391","21,424",0.386777635,"3,113",412,"26,139","7,053","3,453","6,795","2,949","6,078","2,481","9,298","3,716","3,968","1,360"
60076,"49,908","23,237",0.465596698,"2,404",587,"23,752","6,647","4,678","3,640","1,884","3,735","1,712","10,291","5,275","6,086","2,454"
60077,"42,559","16,836",0.395592002,"1,903",340,"20,328","5,093","3,155","3,575","1,713","3,885","1,821","7,765","3,277","5,103","1,437"
60081,"13,388","2,992",0.223483717,690,48,"6,349","1,129",343,680,170,"1,283",391,"3,395",801,991,110
60083,"15,322","6,490",0.423573946,808,248,"7,257","1,993","1,128","1,239",717,"1,381",791,"3,025","1,287","1,612",326
60084,"22,403","7,835",0.349729947,"1,327",241,"10,538","2,372","1,425","1,794",969,"2,266",950,"4,693","1,464","1,785",414
60085,"90,673","11,510",0.126939662,"8,737",398,"40,968","3,979","1,577","11,548","1,603","8,887","1,093","15,255","2,128","5,278",732
60087,"37,012","6,362",0.171890198,"2,844",144,"17,084","2,158",951,"3,587",596,"3,920",612,"6,654","1,388","2,923",513
60088,"14,870","2,022",0.13597848,"7,780",260,"3,545",733,148,"2,843",690,336,93,293,87,73,11
60089,"61,791","38,989",0.630981858,"2,383",767,"29,704","10,935","8,176","4,635","3,529","6,106","4,761","13,385","8,560","5,578","2,261"
60090,"56,184","19,255",0.342713228,"2,700",621,"26,742","6,142","3,175","6,855","2,691","5,267","1,873","9,891","3,494","4,729","1,259"
60091,"37,161","29,322",0.789053039,"1,475",370,"17,843","6,149","8,327","1,171",884,"3,586","3,154","8,249","7,132","4,837","3,306"
60093,"26,019","20,929",0.804373727,"1,095",287,"12,462","4,786","5,535","1,037",676,"2,159","1,993","5,918","5,170","3,348","2,482"
