X,Y,OBJECTID,NCESID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,POPULATION,COUNTY,COUNTYFIPS,LATITUDE,LONGITUDE,LEVEL_,ENROLLMENT,ST_GRADE,END_GRADE,FT_TEACHER
-87.66694817,41.98327675,80806,1.70993E+11,PEIRCE ELEM INTL STUDIES SCHOOL,1423 W BRYN MAWR AVE,CHICAGO,IL,60660,4224,1078,COOK,17031,41.98327675,-87.66694817,1,1025,PK,8,53
-87.65439554,41.70605021,80849,1.70993E+11,JULIAN HIGH SCHOOL,10330 S ELIZABETH ST,CHICAGO,IL,60643,2394,906,COOK,17031,41.70605021,-87.65439554,3,848,9,12,58
-87.53334275,41.71536216,83203,1.70993E+11,TAYLOR ELEM SCHOOL,9912 S AVENUE H,CHICAGO,IL,60617,5597,539,COOK,17031,41.71536216,-87.53334275,1,510,PK,8,29
-87.73375031,41.88160721,83282,1.70993E+11,LEGAL PREP ACADEMY CHARTER HS,1901 W CARROLL AVE,CHICAGO,IL,60612,2401,266,COOK,17031,41.88160721,-87.73375031,4,249,9,11,17
-87.73967548,41.93275346,83404,1.70993E+11,BARRY ELEM SCHOOL,2828 N KILBOURN AVE,CHICAGO,IL,60641,5381,872,COOK,17031,41.93275346,-87.73967548,1,827,PK,6,45
-87.66963431,41.68934422,83444,1.70993E+11,ESMOND ELEM SCHOOL,1865 W MONTVALE AVE,CHICAGO,IL,60643,4217,347,COOK,17031,41.68934422,-87.66963431,1,327,PK,8,20
-87.68124805,41.8479675,83481,1.70993E+11,RUIZ ELEM SCHOOL,2410 S LEAVITT ST,CHICAGO,IL,60608,4032,885,COOK,17031,41.8479675,-87.68124805,1,839,PK,8,46
-87.61850383,41.84443721,83531,1.70993E+11,YOUNG WOMENS LEADERSHIP CHARTR HS,2641 S CALUMET AVE,CHICAGO,IL,60616,2901,353,COOK,17031,41.84443721,-87.61850383,3,327,8,12,26
-87.85431035,42.3170259,83927,1.70011E+11,SOUTH ELEMENTARY SCHOOL,1812 MORROW AVE,NORTH CHICAGO,IL,60064,3210,-999,LAKE,17097,42.3170259,-87.85431035,1,-1,KG,5,-1
-87.57307611,41.76868009,84081,1.70993E+11,OKEEFFE ELEM SCHOOL,6940 S MERRILL AVE,CHICAGO,IL,60649,1721,687,COOK,17031,41.76868009,-87.57307611,1,656,PK,8,31
-87.68282251,41.90748501,88327,1.70993E+11,SABIN ELEM MAGNET SCHOOL,2216 W HIRSCH ST,CHICAGO,IL,60622,1837,637,COOK,17031,41.90748501,-87.68282251,1,601,KG,8,36
-87.62944249,41.50363753,88441,1.70996E+11,LINCOLN ELEM SCHOOL,1520 CENTER AVE,CHICAGO HEIGHTS,IL,60411,3634,207,COOK,17031,41.50363753,-87.62944249,1,191,KG,8,16
-87.67804977,42.01734548,88484,1.70993E+11,JORDAN ELEM COMMUNITY SCHOOL,7414 N WOLCOTT AVE,CHICAGO,IL,60626,1519,618,COOK,17031,42.01734548,-87.67804977,1,583,PK,8,35
-87.67124682,41.8297009,88485,1.70993E+11,GREENE N ELEM SCHOOL,3525 S HONORE ST,CHICAGO,IL,60609,1210,649,COOK,17031,41.8297009,-87.67124682,1,617,PK,5,32
-87.78421542,41.91252352,88841,1.70993E+11,LOVETT ELEM SCHOOL,6333 W BLOOMINGDALE AVE,CHICAGO,IL,60639,3817,461,COOK,17031,41.91252352,-87.78421542,1,440,PK,8,21
-87.58316877,41.76891787,89128,1.70993E+11,PARKSIDE ELEM COMMUNITY ACADEMY,6938 S EAST END AVE,CHICAGO,IL,60649,1422,328,COOK,17031,41.76891787,-87.58316877,1,309,PK,8,19
-87.70444661,41.8504578,91565,1.70993E+11,KANOON ELEM MAGNET SCHOOL,2233 S KEDZIE AVE,CHICAGO,IL,60623,3317,758,COOK,17031,41.8504578,-87.70444661,1,716,PK,8,42
-87.7014089,41.98811875,91686,1.70993E+11,MATHER HIGH SCHOOL,5835 N LINCOLN AVE,CHICAGO,IL,60659,4610,1669,COOK,17031,41.98811875,-87.7014089,3,1570,9,12,99
-87.66587457,41.72054055,91724,1.70993E+11,VANDERPOEL ELEM MAGNET SCHOOL,9510 S PROSPECT AVE,CHICAGO,IL,60643,1296,311,COOK,17031,41.72054055,-87.66587457,1,297,KG,8,14
-87.7177022,41.83831559,100323,1.70993E+11,ORTIZ DE DOMINGUEZ ELEM SCHOOL,3000 S LAWNDALE AVE,CHICAGO,IL,60623,4524,775,COOK,17031,41.83831559,-87.7177022,1,737,PK,2,38
-87.71410062,41.90416545,100486,1.70993E+11,CASALS ELEM SCHOOL,3501 W POTOMAC AVE,CHICAGO,IL,60651,2231,521,COOK,17031,41.90416545,-87.71410062,1,492,PK,8,29
