zipcode,male,white,median_age
61401,0.52,0.80,41.6
61410,0.46,0.96,39.6
61411,0.63,1.00,54.5
61412,0.51,0.93,44.3
61413,0.51,0.98,42.9
61414,0.51,0.96,39.5
61415,0.53,1.00,40.7
61416,0.46,1.00,39.7
61417,0.50,0.99,49.1
61418,0.48,0.99,54.5
61419,0.42,1.00,60.6
61420,0.54,0.93,46.9
61421,0.52,0.98,43.1
61422,0.48,0.98,40.8
61423,0.48,0.99,43.7
61424,0.55,1.00,23.2
61425,0.49,1.00,60.8
61426,0.46,1.00,36.9
61427,0.50,0.97,48
61428,0.50,0.95,52.2
61430,0.50,0.98,48.6
61431,0.51,1.00,52.7
61432,0.49,0.99,45.1
61433,0.55,1.00,49.2
61434,0.51,0.97,48.1
61435,0.17,1.00,68.4
61436,0.47,0.89,46
61437,0.54,1.00,50.7
61438,0.56,0.99,38.6
61439,0.54,0.96,51.6
61440,0.55,0.99,44.3
61441,0.50,0.96,50
61442,0.46,0.98,49.8
61443,0.49,0.86,39.8
61447,0.51,0.98,43.3
61448,0.45,0.98,41.4
61449,0.58,1.00,53.4
61450,0.51,0.99,47.4
61451,0.59,1.00,35.9
61452,0.38,1.00,47.5
61453,0.53,0.93,38.1
61454,0.41,0.98,49.7
61455,0.47,0.86,28
61458,0.53,1.00,58.5
61459,0.54,0.95,54
61460,0.44,0.99,49.3
61462,0.46,0.84,37.3
61465,0.54,0.98,46.8
61466,0.57,0.98,47.7
61467,0.53,0.96,35.6
61468,0.59,0.94,25.6
61469,0.51,0.96,51.5
61470,0.52,0.89,44.2
61471,0.40,0.92,26.8
61472,0.55,0.98,55
61473,0.49,0.94,46.8
61474,0.50,1.00,36.9
61475,0.58,0.99,51.2
61476,0.49,0.94,48.3
61477,0.42,1.00,47.8
61478,0.58,1.00,41.8
61479,0.53,1.00,29.6
61480,0.48,0.98,46.6
61482,0.50,0.99,40.2
61483,0.49,0.95,51.1
61484,0.51,0.98,41.8
61485,0.52,0.99,53.6
61486,0.51,0.96,36
61488,0.48,0.97,45.3
61489,0.52,0.99,45.2
61490,0.54,1.00,42.8
61491,0.48,0.98,48.3
61501,0.56,0.98,43
61516,0.51,0.99,34.8
61517,0.51,0.97,43.5
61519,0.55,0.95,44.5
61520,0.54,0.90,41.6
61523,0.48,0.94,42.6
61524,0.50,1.00,32.9
61525,0.50,0.73,35.6
61526,0.41,1.00,51.9
61528,0.51,0.89,40
61529,0.46,0.97,41.8
61530,0.50,0.95,34.4
61531,0.48,0.97,40.9
61532,0.51,1.00,36
61533,0.52,1.00,40.3
61534,0.56,1.00,41.2
61535,0.58,0.95,43.3
61536,0.49,0.97,47.3
61537,0.49,0.95,40.9
61539,0.51,0.99,35.7
61540,0.49,0.98,46.8
61541,0.38,0.90,59
61542,0.51,0.98,47.6
61543,0.51,1.00,53.2
61544,0.52,0.98,38
61545,0.47,1.00,35.5
61546,0.50,0.98,46.9
61547,0.50,0.99,42.6
61548,0.50,0.97,41.8
61550,0.47,0.96,42.8
61552,0.47,1.00,48.4
61553,0.43,0.98,41.9
61554,0.49,0.96,40.7
61559,0.51,0.94,43.5
61560,0.50,0.91,63.8
61561,0.51,0.99,45
61562,0.80,1.00,48.6
61563,0.52,0.99,43
61564,0.46,0.99,37.1
61565,0.51,0.99,46.8
61567,0.51,0.96,45.3
61568,0.49,0.97,37.6
61569,0.47,0.96,46.3
61570,0.50,0.98,41.3
61571,0.48,0.94,39.4
61572,0.53,0.97,43.4
61602,0.75,0.69,44.3
61603,0.49,0.46,31.8
61604,0.48,0.66,38.3
61605,0.46,0.35,32.9
61606,0.52,0.69,22.1
61607,0.51,0.96,43.4
61610,0.48,0.96,36.2
61611,0.51,0.95,44
61614,0.47,0.77,40.5
61615,0.48,0.72,37.9
61616,0.46,0.90,37.9
61625,0.51,0.82,20.2
61701,0.50,0.80,33.4
61704,0.50,0.76,36.1
61705,0.48,0.88,37.8
61720,0.49,0.98,29.8
61721,0.51,0.97,45.4
61722,0.47,0.99,38.5
61723,0.50,0.96,42.1
61724,0.51,0.96,46.9
61725,0.57,0.93,35.6
61726,0.49,0.95,41.9
61727,0.50,0.96,40.8
61728,0.43,0.96,38.4
61729,0.50,0.97,35.6
61730,0.58,0.98,28
61731,0.50,1.00,38.1
61732,0.49,0.97,40
61733,0.49,0.94,39.7
61734,0.48,0.98,43.9
61735,0.52,0.93,40.7
61736,0.49,0.97,39.1
61737,0.50,0.98,42.8
61738,0.52,0.97,38.9
61739,0.47,0.96,39.8
61740,0.46,0.95,48.3
61741,0.49,0.96,35
61742,0.52,1.00,44.3
61743,0.52,0.93,40
61744,0.47,0.95,34.3
